COMBO,GW1,GW2,GW3,GW4,GW5,GW6,GW7,GW8,GW9,GW10,SUM,AVG PER TEAM,STD DEV,AVG * STD DEV
"MUN,SOU,WBA",4.5,3.3,4.2,3.9,3.8,3.9,3.4,3.7,4.3,4.5,39.5,3.95,0.4222953153,1.668066495
"CHE,FUL,LEI",3.1,3.8,2.8,3.3,3.3,4.5,2.8,4.3,3.8,3.8,35.5,3.55,0.5873670062,2.085152872
"LIV,MUN,TOT",3.2,3.8,3.2,4.8,4.1,3.7,4.2,3.7,3.7,4.8,39.2,3.92,0.5633234713,2.208228008
"CRY,MUN,SOU",3.9,3.8,3.7,3.9,3.2,3.3,4.9,2.8,3.2,4.4,37.1,3.71,0.6226288354,2.309952979
"AVL,CHE,LEI",3.1,3.3,2.8,3.3,3.8,5,4.1,4.3,3.3,3.8,36.8,3.68,0.6562519841,2.415007302
"CRY,MUN,WOL",4.3,4.9,3.7,3.8,3.2,2.7,3.8,3.7,3.2,4.4,37.7,3.77,0.6464432604,2.437091092
"BHA,CHE,LEI",3.1,3.7,4.9,3.2,2.7,4.4,4.1,3.2,3.7,3.8,36.8,3.68,0.6629898608,2.439802688
"AVL,CHE,WBA",4.9,4,2.8,3.8,4.5,3.5,3.8,4.4,3.3,4.5,39.5,3.95,0.6416125518,2.53436958
"CRY,EVE,LEI",3.8,2.8,3.4,4,2.7,4.4,3.8,4.4,3.9,2.2,35.4,3.54,0.7471427054,2.644885177
"MUN,WHU,WOL",3.3,4.4,4.8,3.8,3.6,4.8,3.8,3.3,2.8,4.5,39.1,3.91,0.6887186169,2.692889792
"AVL,SHU,SOU",4.4,3.3,2.8,4.4,4.4,3.4,4.4,5,4,4.3,40.4,4.04,0.6669999167,2.694679664
"LIV,MUN,SOU",2.7,3.8,4.2,2.7,4.1,3.2,4.7,3.7,3.7,4.8,37.6,3.76,0.7336363011,2.758472492
"AVL,LEI,SOU",2.7,3.3,3.9,3.4,4.9,3.4,3.7,4.4,5,3.8,38.5,3.85,0.7291547618,2.807245833
"EVE,LIV,TOT",3.2,4,2.9,3.3,4.8,3.7,3.4,5.1,4.4,3.3,38.1,3.81,0.7400450437,2.819571616
"CHE,LEE,WBA",4.9,3.3,3.1,3.8,4.5,3.8,3.8,2.6,4.8,3.8,38.4,3.84,0.7351492668,2.822973184
"BHA,CHE,NEW",4.8,3.4,4.9,2.8,3.9,4.5,4.3,3.2,3.7,4.5,40,4,0.7133644853,2.853457941
"BHA,CHE,WBA",4.9,4.4,4.9,3.2,3.4,2.9,3.8,3.2,3.7,4.5,38.9,3.89,0.7370361065,2.867070454
"AVL,SOU,WBA",4.5,4,3.9,3.9,5.6,3.4,3.4,4.5,5,4.5,42.7,4.27,0.6929005059,2.95868516
"BUR,FUL,LEI",4.4,3.8,4,4.4,2.7,4,2.8,4.9,2.9,4.4,38.3,3.83,0.7732327521,2.96148144
"ARS,FUL,MCI",4.5,4.5,4.4,3.2,4.9,3.3,2.8,4.4,3.9,4.8,40.7,4.07,0.730372812,2.972617345
"BUR,LIV,NEW",4.3,5,5.4,3.7,3.7,4.3,4.8,4.9,3.8,3.3,43.2,4.32,0.6892830414,2.977702739
"ARS,AVL,WBA",4.5,4,5.2,4.4,5.6,3.5,4,4.5,3.4,4.5,43.6,4.36,0.6850790709,2.986944749
"LIV,MUN,WBA",4.4,3.3,4.7,4.8,3.8,3.3,4.3,5.4,3.7,3.3,41,4.1,0.7333333333,3.006666667
"CHE,FUL,NEW",4.8,3.5,2.8,2.8,4.5,4.6,3,4.3,3.8,4.5,38.6,3.86,0.786271087,3.035006396
"LEI,MUN,SOU",2.7,2.6,4.2,3.4,3.1,5.4,3.7,3.7,4.3,3.8,36.9,3.69,0.827915723,3.055009018
"CHE,FUL,WBA",4.9,4.5,2.8,3.8,4,3,2.5,4.3,3.8,4.5,38.1,3.81,0.8033955716,3.060937128
"CRY,EVE,WBA",5.6,3.5,3.4,4.5,3.4,3.4,3.5,4.5,3.9,2.9,38.6,3.86,0.7933053216,3.062158542
"ARS,FUL,SHU",4.4,3.8,2.8,4.9,2.8,4,5.1,4.4,3.9,4.3,40.4,4.04,0.7705697748,3.11310189
"CRY,EVE,SOU",3.9,4,3.4,2.4,5.5,3.3,3.9,2.8,3.9,2.9,36,3.6,0.8653836657,3.115381197
"CHE,FUL,SHU",4.8,3.8,2.6,4.3,2.8,5,3.3,4.3,3.8,4.3,39,3.9,0.8013876853,3.125411973
"ARS,CRY,FUL",3.9,4.5,3.4,5,3.4,2.4,4.5,2.8,3.9,4.4,38.2,3.82,0.8216514535,3.138708553
"AVL,CRY,SOU",3.9,4.5,3.4,5,5,2.9,4.4,2.8,3.9,4.4,40.2,4.02,0.7885288693,3.169886055
"CRY,EVE,TOT",4.4,4,2.9,5.6,3.9,3.8,3.4,2.8,3.9,2.9,37.6,3.76,0.844853702,3.17664992
"FUL,SHU,SOU",4.4,3.8,2.8,4.4,2.8,2.9,2.9,4.4,4.5,4.9,37.8,3.78,0.8430104784,3.186579608
"ARS,FUL,LIV",2.7,4.5,4.4,3.2,4.3,2.3,3.8,4.4,3.9,4.8,38.3,3.83,0.8353974437,3.199572209
"LEE,WHU,WOL",3.3,4.4,4.8,4.4,4.8,3.1,3.8,2.3,4.5,3.8,39.2,3.92,0.8202980488,3.215568351
"CHE,EVE,FUL",4.9,3,2.8,2.3,4.5,4,3,4.3,3.3,4.5,36.6,3.66,0.8859395515,3.242538758
"ARS,FUL,WBA",4.5,4.5,5.2,4.4,4,3,2.5,4.4,3.9,4.5,40.9,4.09,0.7950541561,3.251771498
"CHE,LEE,LEI",3.1,2.6,3.1,3.3,3.8,5.3,4.1,2.6,4.8,3.1,35.8,3.58,0.9101892355,3.258477463
"FUL,LEI,SOU",2.7,3.8,3.9,3.4,3.3,2.9,2.8,4.4,5.5,4.4,37.1,3.71,0.8799621204,3.264659467
"CRY,EVE,LIV",3.8,5,3.4,3.3,3.7,2.7,4.8,5.1,3.9,2.9,38.6,3.86,0.8527081043,3.291453283
