COMBO,GW1,GW2,GW3,GW4,GW5,GW6,GW7,GW8,GW9,GW10,SUM
"CHE,LEE,LEI,WOL",3.1,2.6,3.1,1.6,3.1,3.1,2.6,2.6,4.3,3.1,29.2
"CRY,EVE,MUN,WOL",4.3,1.8,3.3,2.3,3.2,2.7,2.8,3.7,2.3,2.9,29.3
"CHE,CRY,FUL,LEI",3.1,3.8,2.8,3.3,2.7,2.4,2.8,2.7,3.8,2.2,29.6
"CHE,LEE,SHU,WOL",3.6,2.6,2.6,1.6,2.6,3.1,3.1,2.6,4.3,3.6,29.7
"CHE,EVE,LEE,WOL",3.6,1.8,2.8,1.6,4.3,3.1,2.8,2.6,3.3,3.8,29.7
"CRY,LEI,MUN,WOL",3.1,2.6,3.7,3.3,2.7,2.7,2.6,3.7,3.2,2.2,29.8
"CRY,EVE,MUN,SOU",3.9,1.8,3.3,2.4,3.2,3.3,3.9,2.8,2.3,2.9,29.8
"CRY,EVE,LEE,WOL",4.3,1.8,3.3,2.3,3.2,2.7,2.8,2.7,3.9,2.9,29.9
"CRY,EVE,LEI,SOU",2.7,2.8,3.4,2.4,2.7,3.3,3.7,2.8,3.9,2.2,29.9
"EVE,LEE,LEI,WOL",3.1,1.8,3.3,2.3,3.1,3.1,2.6,4.3,4,2.3,29.9
"EVE,MUN,SOU,WOL",3.2,1.8,3.3,1.7,3.6,3.2,2.7,3.7,2.3,4.5,30
"BHA,EVE,LEI,SOU",2.7,2.8,3.9,2.4,2.7,2.8,3.7,3.3,3.4,2.3,30
"EVE,MUN,WHU,WOL",3.3,1.8,3.3,2.3,3.6,4.3,2.8,3.3,2.3,3,30
"EVE,FUL,WHU,WOL",3.3,3,3,2.3,3.8,2.3,1.8,4,3.5,3,30
"ARS,CRY,EVE,WOL",3.2,3.5,3.4,2.2,3.2,2.7,2.8,2.8,3.4,2.9,30.1
"CHE,CRY,EVE,FUL",4.3,3,2.8,2.3,3.4,2.4,3,2.7,3.3,2.9,30.1
"CRY,EVE,LEI,WOL",3.1,2.8,3.4,2.3,2.7,2.7,2.6,4.4,3.9,2.2,30.1
"EVE,FUL,LEI,SOU",2.7,2.8,3,2.4,3.3,2.9,2.8,4.4,3.5,2.3,30.1
"BHA,CHE,EVE,WOL",3.6,2.9,2.8,1.6,3.2,2.2,2.8,3.2,3.3,4.5,30.1
"CHE,CRY,EVE,LEI",3.1,2.8,2.8,2.3,2.7,4.4,3.8,2.7,3.3,2.2,30.1
"BHA,CHE,SHU,WOL",3.6,3.7,2.6,1.6,2.2,2.2,3.1,3.2,3.7,4.3,30.2
"EVE,LEI,MUN,SOU",2.7,1.8,3.3,2.4,3.1,4.9,3.7,3.7,2.3,2.3,30.2
"CHE,FUL,LEE,LEI",3.1,2.6,2.8,3.3,3.3,2.8,2.8,2.6,3.8,3.1,30.2
"CHE,LEE,MUN,WOL",3.6,1.6,3.1,1.6,3.6,3.1,3.1,2.6,2.6,5.3,30.2
"BHA,CHE,EVE,LEI",3.1,2.8,2.8,2.3,2.7,3.9,3.8,3.2,3.3,2.3,30.2
"CRY,EVE,FUL,SOU",3.9,3,3,2.4,3.4,2.4,2.9,2.8,3.5,2.9,30.2
"EVE,FUL,LEI,WOL",3.1,2.8,3,2.3,3.1,2.3,1.8,6,3.5,2.3,30.2
"CHE,EVE,LEI,WOL",3.1,2.8,2.8,1.6,3.1,4.3,2.6,4.3,3.3,2.3,30.2
