COMBO,GW1,GW2,GW3,GW4,GW5,GW6,GW7,GW8,GW9,GW10,SUM,AVERAGE PER TEAM,STD DEV,AVG * STD DEV
"CHE,FUL,LEE,LEI,LIV",7.5,8.6,7.5,8.7,8.1,7.6,7.9,8.6,9.7,7.9,82.1,2.0525,0.695141872,1.426778692
"AVL,CHE,LEE,LEI,WOL",9.9,8.6,7.6,8.6,8.6,8.1,7.4,9.1,8.8,9.1,85.8,2.145,0.739068483,1.585301896
"CHE,FUL,LEI,LIV,MUN",7.5,8.6,7.5,8.1,7.4,9.3,7.9,9.6,7.5,8.6,82,2.05,0.795822426,1.631435973
"ARS,CHE,FUL,SHU,WBA",9.3,8.8,7.8,8.7,7.3,10,8.9,8.8,8.2,8.8,86.6,2.165,0.754541804,1.633583005
"AVL,CHE,LEE,LEI,LIV",9.4,8.1,7.5,9.6,9.1,8.1,9.4,9.2,9.2,7.9,87.5,2.1875,0.761941963,1.666748045
"CHE,FUL,LEE,LIV,NEW",9.2,8.3,7.5,8.2,9.8,7.7,8.1,8.6,9.7,8.6,85.7,2.1425,0.783226943,1.678063726
"CRY,LIV,MUN,NEW,SOU",8.2,9.3,9,7.7,9.2,8.1,9.7,8.1,9.6,7.7,86.6,2.165,0.779173351,1.686910305
"CRY,EVE,FUL,LEI,SOU",8.3,7.8,7.3,8.5,8.8,7.3,6.7,8.8,9.4,7.3,80.2,2.005,0.867691702,1.739721862
"AVL,LEI,LIV,MUN,SOU",9,7.1,8.6,8.2,9,8.2,9,10.3,8.7,8.6,86.7,2.1675,0.809732466,1.75509512
"CHE,FUL,LIV,MUN,NEW",9.2,8.3,7.5,7.6,8.6,9.4,8.1,9.6,7.5,9.3,85.1,2.1275,0.827915723,1.761390701
"BUR,CRY,EVE,LEI,SOU",8.8,9.3,8.3,6.8,8.2,9.3,9.2,7.7,8.3,7.3,83.2,2.08,0.861265219,1.791431656
"BHA,CRY,EVE,LEI,SOU",8.8,7.7,9.4,7.3,8.2,7.2,9.2,7.7,9.3,7.3,82.1,2.0525,0.890006242,1.826737812
"CRY,MUN,NEW,SOU,WOL",8.7,9.4,9.1,6.7,8.7,8.1,7.7,8.1,9.2,9.4,85.1,2.1275,0.865961251,1.842332562
"CHE,FUL,LIV,MUN,WBA",9.3,9.3,7.5,8.6,8.1,7.8,7.6,9.7,7.5,9.3,84.7,2.1175,0.870568141,1.843428039
"FUL,LEI,LIV,MUN,SOU",7.1,7.6,8.6,8.2,7.4,7.7,7.5,9.7,9.2,9.2,82.2,2.055,0.904064894,1.857853358
"ARS,CHE,CRY,FUL,NEW",8.7,10.1,8.3,7.8,9.6,9,8.8,7.1,8.1,8.9,86.4,2.16,0.866923039,1.872553764
"CRY,FUL,LEI,MUN,SOU",8.3,7.6,7.6,10,6.5,7.8,7.7,8.1,8.7,8.8,81.1,2.0275,0.931486268,1.888588407
"ARS,CHE,FUL,LEE,LEI",7.6,7.1,9.6,8.3,8.8,9.3,8.1,7,8.7,9.1,83.6,2.09,0.904556368,1.890522808
"CRY,EVE,LIV,MUN,SOU",8.8,8.8,7.6,7.2,9.6,7.6,9.7,8.8,7.6,7.7,83.4,2.085,0.90823394,1.893667764
"ARS,AVL,CHE,FUL,LEI",7.6,7.8,9.3,8.3,9.4,9,7.6,8.7,7.2,9.8,84.7,2.1175,0.898208093,1.901955636
"AVL,CHE,CRY,LEI,NEW",8.6,8.9,8.3,9.4,8.8,10,8.6,8.7,9.4,6.7,87.4,2.185,0.874579264,1.910955692
"ARS,CHE,FUL,LEE,WBA",9.4,7.8,8.3,8.8,9.5,7.8,7.8,7,8.7,9.8,84.9,2.1225,0.906090503,1.923177093
"ARS,CRY,MUN,NEW,WOL",8.7,8.9,10.3,7.2,8.7,9.2,9.3,8.1,7.6,8.9,86.9,2.1725,0.886253036,1.925384721
