COMBO,GW1,GW2,GW3,GW4,GW5,GW6,GW7,GW8,GW9,GW10,GW11,GW12,GW13,GW14,GW15,SUM,AVG PER TEAM,STD DEV,AVG * STD DEV
"CRY,NEW",2.5,1.5,1.9,2,1.4,1.4,2,1.4,2.4,1.4,1.4,1,2,1,1.9,25.2,2.52,0.4585692034,1.155594393
"AVL,LEI",1.3,1.5,1.5,2.5,1.3,1.5,1.8,3,1.5,0.8,1.5,1.3,1.8,1.5,1,23.8,2.38,0.5462425765,1.300057332
"MUN,SOU",1.4,0.8,1.8,0.9,1.8,1.9,1.9,1.4,0.8,3,1.9,1.4,1.8,1.3,1.4,23.5,2.35,0.5576310437,1.310432953
"CHE,LEE",1.8,0.8,1.3,0.8,2.5,1.8,2.3,1.3,1.8,2.3,1.3,2.3,1.3,2.5,1.8,25.9,2.59,0.5762770498,1.492557559
"AVL,CHE",1.8,1.5,1.3,0.8,2.5,1.5,2.3,1.3,1.5,3,1.3,2.3,2,1.5,1,25.6,2.56,0.602929357,1.543499154
"CHE,FUL",1.8,2,1.3,0.8,2,1,1,1.3,1.8,3,1.3,2.3,1.5,2,2.5,25.6,2.56,0.6146621217,1.573535031
"BUR,WBA",3.1,2.5,2.5,1.9,1.4,2,1.5,1.9,0.9,1.5,1,2,1.9,1.5,1.9,27.5,2.75,0.5765248931,1.585443456
"FUL,LEI",1.3,1.8,1.5,2.5,1.3,1,1,3,2,0.8,1.8,1.3,1.5,2,2.5,25.3,2.53,0.6277700519,1.588258231
"FUL,LIV",1.3,2,1.5,1.8,2,1,1,3,2,1.8,2.9,1.3,1.5,1.3,0.8,25.2,2.52,0.6416496596,1.616957142
"LIV,MUN",1.3,0.8,1.8,1.8,1.8,1.3,2.8,2.3,0.8,1.8,2.9,1.3,1.8,1.3,0.8,24.6,2.46,0.6587867637,1.620615439
"BHA,LIV",1.3,1.9,2.9,1.8,1.4,0.9,2.8,1.9,1.9,1.8,2.5,1.3,1.4,1.3,0.8,25.9,2.59,0.6284523697,1.627691637
"FUL,SOU",1.4,2,1.5,0.9,2,1,1,1.4,2,3.6,1.9,1.4,1.5,2,1.4,25,2.5,0.6575568054,1.643892014
"SHU,SOU",1.4,1.8,1.3,0.9,0.8,1.9,1.9,1.4,2.5,1.3,1.9,1.4,3.5,1.8,1.4,25.2,2.52,0.662462937,1.669406601
"BHA,SOU",1.4,1.9,2.4,0.9,1.4,0.9,1.9,1.4,1.9,3.6,1.9,1.4,1.4,1.4,1.4,25.2,2.52,0.6635402884,1.672121527
"CRY,LEI",1.3,1.8,1.9,2.5,1.3,1.4,1.8,1.4,2.4,0.8,1.4,1.3,1.8,3.5,1.9,26.5,2.65,0.6531972647,1.730972752
"ARS,CRY",1.4,2.5,1.9,1.4,1.4,1.4,3.5,1.4,1.9,1.4,1.4,1.9,2.5,2.4,1.9,28.3,2.83,0.6139644786,1.737519474
"BHA,CHE",1.8,1.9,1.3,0.8,1.4,0.9,2.3,1.3,1.8,3,1.3,2.3,1.4,1.4,3,25.9,2.59,0.673441764,1.744214169
"AVL,LIV",1.3,1.5,1.5,1.8,2.3,1.3,2.5,3.6,1.5,1.8,1.5,1.3,2,1.3,0.8,26,2.6,0.6715298809,1.74597769
"BUR,LEI",1.3,1.8,2.5,1.9,1.3,3,1.8,1.9,0.9,0.8,1.8,1.3,1.8,3,1.9,27,2.7,0.6524678427,1.761663175
"BUR,NEW",3,1.5,2.5,1.9,1.4,3,2,1.9,0.9,1.5,1.9,1,1.9,1,1.9,27.3,2.73,0.6482944657,1.769843891
"WBA,WHU",1.5,2.5,3.1,3,2,2,1.5,1,2,1.5,1,2,1,1.5,1.5,27.1,2.71,0.6627504019,1.796053589
"FUL,NEW",3,1.5,1.5,2,2,1,1,3,2,1.5,2,1,1.5,1,2.5,26.5,2.65,0.6778818551,1.796386916
"CRY,WBA",2.5,2.5,1.9,3,1.4,1.4,1.5,1.4,2.4,1.4,1,2,3,1.5,1.9,28.8,2.88,0.6281492088,1.809069721
"AVL,SOU",1.4,1.5,1.5,0.9,3.6,1.5,1.9,1.4,1.5,3,1.5,1.4,2,1.5,1,25.6,2.56,0.7106000147,1.819136038
"LEE,LIV",1.3,0.8,1.8,1.8,2.3,1.3,2.8,1.3,2.9,1.8,2.9,1.3,1.3,1.3,0.8,25.7,2.57,0.7099966465,1.824691382
"AVL,WOL",1.8,1.5,1.5,0.8,1.8,1.3,0.8,3.5,1.5,3,1.5,1.3,2,1.5,1,24.8,2.48,0.7385958364,1.831717674
"LEI,LIV",1.3,1.8,2.9,1.8,1.3,1.3,1.8,3,2.9,0.8,1.8,1.3,1.8,1.3,0.8,25.9,2.59,0.7085867894,1.835239785
"ARS,MCI",1.4,2.5,2.9,1.4,2.9,2.3,1.8,1.4,1.9,1.8,0.8,1.9,0.8,2.4,1.3,27.5,2.75,0.6683312552,1.837910952
"ARS,AVL",1.4,1.5,1.5,1.4,3.6,1.5,2.5,1.4,1.5,3,1.5,1.9,2,1.5,1,27.2,2.72,0.7008837958,1.906403925
"BUR,LIV",1.3,3.5,2.5,1.8,1.4,1.3,2.8,1.9,0.9,1.8,1.9,1.3,1.9,1.3,0.8,26.4,2.64,0.7248645194,1.913642331
"EVE,LEI",1.3,1,1.5,1.5,1.3,3,1.8,3,1.5,0.8,1.8,1.3,1.8,3.1,2,26.7,2.67,0.7203173904,1.923247432
"AVL,WBA",3.1,1.5,1.5,3,2,1.5,1.5,3.1,1.5,1.5,1,2,2,1.5,1,27.7,2.77,0.6978197339,1.932960663
"LEE,WBA",3.1,0.8,1.8,3,2,1.8,1.5,1.3,3,1.5,1,2,1.3,1.5,1.8,27.4,2.74,0.709594116,1.944287878
"CRY,EVE",2.5,1,1.5,1.5,1.4,1.4,2,1.4,1.5,1.4,1.4,3,3,3.1,1.9,28,2.8,0.6945365018,1.944702205
"LIV,NEW",1.3,1.5,2.9,1.8,2.3,1.3,2,3,2.9,1.5,2,1,2,1,0.8,27.3,2.73,0.7163399034,1.955607936
"ARS,FUL",1.4,2,1.5,1.4,2,1,1,1.4,1.9,3,3.5,1.9,1.5,2,2.5,28,2.8,0.698638131,1.956186767
"LEE,NEW",3,0.8,1.8,2,3,1.8,2,1.3,3,1.5,2,1,1.3,1,1.8,27.3,2.73,0.7222979203,1.971873323
"CHE,MCI",1.8,3.4,1.3,0.8,2.5,2.3,1.8,1.3,1.8,1.8,0.8,2.3,0.8,2.5,1.3,26.5,2.65,0.7451430032,1.974628959
"LEE,LEI",1.3,0.8,1.8,2.5,1.3,1.8,1.8,1.3,3,0.8,1.8,1.3,1.3,3.5,1.8,26.1,2.61,0.7566844974,1.974946538
"BHA,CRY",2.5,1.9,1.9,2.4,1.4,0.9,3.5,1.4,1.9,1.4,1.4,3,1.4,1.4,1.9,28.3,2.83,0.7008837958,1.983501142
"ARS,LIV",1.3,2.5,2.9,1.4,2.3,1.3,2.8,1.4,1.9,1.8,2.9,1.3,2.5,1.3,0.8,28.4,2.84,0.6994555706,1.98645382
"LIV,SOU",1.3,3,2.4,0.9,2.3,1.3,1.9,1.4,2.9,1.8,1.9,1.3,2.9,1.3,0.8,27.4,2.74,0.729448585,1.998689123
"BHA,LEI",1.3,1.8,3.6,2.4,1.3,0.9,1.8,1.9,1.9,0.8,1.8,1.3,1.4,1.4,3,26.6,2.66,0.7525828542,2.001870392
"CRY,FUL",2.5,2,1.5,3.6,1.4,1,1,1.4,2,1.4,1.4,3,1.5,2,1.9,27.6,2.76,0.7258492563,2.003343947
"CRY,MUN",2.5,0.8,1.8,3,1.4,1.4,3,1.4,0.8,1.4,1.4,3,1.8,1.3,1.9,26.9,2.69,0.7497301102,2.016773996
"EVE,LIV",1.3,1,1.5,1.5,2.3,1.3,2,3.7,1.5,1.5,2.5,1.3,2.9,1.3,0.8,26.4,2.64,0.7826694248,2.066247282
"FUL,WBA",3.1,2,1.5,3,2,1,1,3,2,1.5,1,2,1.5,1.5,2.5,28.6,2.86,0.723549452,2.069351433
"LIV,TOT",1.3,3,1.4,1.8,2.3,1.3,1.4,1.4,2.9,1.8,2.9,1.3,2.9,1.3,0.8,27.8,2.78,0.7443757372,2.069364549
"MUN,WOL",1.8,0.8,1.8,0.8,1.8,1.3,0.8,2.3,0.8,3,3,1.3,1.8,1.3,3,25.6,2.56,0.8101734088,2.074043927
"BHA,WHU",1.5,1.9,3.1,2.4,1.4,0.9,3.5,1,1.9,1.5,2.5,2,1,1.4,1.5,27.5,2.75,0.7631388815,2.098631924
"EVE,TOT",1.9,1,1.4,1.5,2.5,2.4,1.4,1.4,1.5,1.5,2.5,1.4,3.6,3,2,29,2.9,0.72473312,2.101726048
"LEI,SHU",1.3,1.8,1.3,2.5,0.8,3.5,1.8,3,2.5,0.8,1.8,1.3,1.8,1.8,1.8,27.8,2.78,0.7567474259,2.103757844
"NEW,WOL",1.8,1.5,3,0.8,1.8,1.3,0.8,3,2.5,1.5,2,1,2,1,3,27,2.7,0.7837638128,2.116162295
"CHE,EVE",1.8,1,1.3,0.8,2.5,3,2,1.3,1.5,1.5,1.3,2.3,3.5,2.5,2,28.3,2.83,0.7605136109,2.152253519
