COMBO,GW1,GW2,GW3,GW4,GW5,GW6,GW7,GW8,GW9,GW10,GW11,GW12,GW13,GW14,GW15,SUM,AVERAGE PER TEAM,STD DEV,AVG * STD DEV
"ARS,MCI,SHU,TOT",6.3,7.3,5.6,6.7,6.2,7.7,7.3,6.8,7.8,6.1,6.8,6.3,6.8,7,6.6,101.3,2.251111111,0.606943945,1.366298258
"CRY,MUN,NEW,SOU",6.9,5.3,6.1,5.9,6.9,6.8,6.9,5.1,6.7,5.9,5.3,5.4,6.8,6.8,6.8,93.6,2.08,0.696727042,1.449192248
"ARS,CRY,FUL,NEW",6.9,6,7,7,7.1,5.4,6.5,5.8,6.3,5.9,6.9,5.9,6,5.4,8,96.1,2.135555556,0.730427142,1.559867741
"MUN,SOU,WBA,WHU",6,6.3,7.3,6.9,7.4,7.4,6.4,4.7,6.3,6,5.9,5.4,6.3,7,6.4,95.7,2.126666667,0.751379683,1.597934127
"AVL,BHA,CHE,LEI",6.7,5.2,6.4,5.7,5.2,5.9,6.6,6.2,5.2,6.8,4.6,7.1,5.2,5.4,7.5,89.7,1.993333333,0.850378067,1.695086947
"AVL,LEI,MUN,SOU",7.7,4.1,5.7,6.4,6.7,6.9,6.2,6.7,5.8,6.8,5.2,6.3,5.6,6.3,5.9,92.3,2.051111111,0.840804603,1.724583664
"BUR,FUL,LEI,LIV",5.7,7.3,6.9,6.2,4.7,5.3,5.6,7.9,5.8,6.2,6.6,6.1,5.2,6.3,5.2,91,2.022222222,0.859124693,1.737341046
"AVL,BHA,LEI,SOU",6.3,5.2,7.5,5.8,6.3,4.3,6.2,6.3,6.9,7.4,5.2,6.2,5.2,6.4,5.4,90.6,2.013333333,0.874887748,1.761440666
"CHE,LEE,LIV,WBA",6.2,7.3,6,5.6,6.8,5.1,6.6,5.7,7.7,5.6,5.2,5.6,7.7,5.3,6.1,92.5,2.055555556,0.870686647,1.789744775
"CHE,FUL,LEI,LIV",4.4,7.8,5.7,5.1,5.6,5.8,5.1,7.3,6.7,5.6,6,4.9,6.2,5.8,6.8,88.8,1.973333333,0.921334436,1.818099954
"CHE,FUL,WBA,WHU",6.4,8.1,5.9,7.4,6.5,7,4.8,5.3,5.8,6,6,6.3,6,6,7.5,95,2.111111111,0.863271739,1.82246256
