COMBO,GW1,GW2,GW3,GW4,GW5,GW6,GW7,GW8,GW9,GW10,SUM,AVG PER TEAM
"CHE,EVE,FUL,LEI",6.2,4.8,4.3,4.8,5.8,7.5,4.8,7.3,5.3,5.3,56.1,1.87
"CRY,EVE,FUL,LEI",6.9,4.8,4.9,7.6,4.7,5.4,4.8,7.4,5.9,3.7,56.1,1.87
"CHE,CRY,EVE,LEI",5.6,6.9,4.7,4.8,5.2,7.9,6.1,5.7,5.7,3.7,56.3,1.876666667
"CRY,EVE,LEI,WOL",5.6,6.9,6.4,4.8,4.5,5.7,4.6,7.9,6.4,3.7,56.5,1.883333333
"EVE,FUL,LEI,WOL",6.2,4.8,6,4.8,5.1,5.3,3.6,9.5,6,5.8,57.1,1.903333333
"CHE,EVE,LEE,LEI",6.7,3.6,4.6,4.8,6.8,8.3,6.1,5.6,6.3,4.6,57.4,1.913333333
"CHE,EVE,LEI,MUN",6.7,3.6,4.6,4.8,5.6,10,6.1,6.6,4.1,5.3,57.4,1.913333333
"CRY,EVE,LEI,SOU",5.2,5.8,5.8,4.9,6.8,6.3,5.7,5.8,7.4,3.7,57.4,1.913333333
"CRY,EVE,LEI,MUN",7.4,3.6,5.2,7,4.5,7.9,6.8,6.7,4.7,3.7,57.5,1.916666667
"EVE,LEI,MUN,WOL",6.7,3.6,6.3,4.8,4.9,7.8,4.6,8.8,4.8,5.3,57.6,1.92
"EVE,LEE,LEI,WOL",6.7,3.6,6.3,4.8,6.1,6.1,4.6,7.8,7,4.6,57.6,1.92
"CHE,CRY,EVE,WOL",6.1,9.6,4.7,3.1,5.7,5.7,5.1,6.2,5.7,5.9,57.8,1.926666667
"BHA,CHE,EVE,LEI",6.7,4.7,6.4,4.7,5.2,7.4,6.1,6.2,5.2,5.3,57.9,1.93
"CHE,CRY,EVE,SOU",5.7,8.1,4.7,3.2,8,6.3,6.2,4.1,5.7,5.9,57.9,1.93
"BHA,CHE,FUL,SOU",6.3,6.9,5.2,4.1,5.9,3.8,5.2,4.6,5.7,10.2,57.9,1.93
"CHE,CRY,FUL,LEI",5.6,7.9,4.7,6.9,4.7,5.9,5.1,5.7,6.2,5.2,57.9,1.93
"CHE,FUL,LEI,MUN",6.2,4.6,4.6,6.3,5.1,8,5.1,6.6,4.6,6.8,57.9,1.93
"EVE,LEI,SHU,WOL",6.1,4.6,5.8,4.8,3.9,7.8,4.6,10.2,6.5,3.6,57.9,1.93
"BHA,CHE,EVE,FUL",8.5,4.9,4.3,4.7,5.9,4.9,5.3,6.2,5.2,8.1,58,1.933333333
"CHE,FUL,LEI,SOU",4.5,6.8,5.2,4.2,5.8,6.4,4.7,5.7,7.3,7.4,58,1.933333333
"CRY,FUL,LEI,SOU",5.2,6.8,5.8,7,4.7,4.3,4.7,5.8,7.9,5.8,58,1.933333333
"BHA,CRY,EVE,LEI",7.4,4.7,7,6.4,4.1,5.3,7.3,6.3,5.8,3.7,58,1.933333333
"CHE,EVE,LEI,WOL",4.9,7.3,5.8,3.1,5.6,7.8,4.6,7.8,5.8,5.3,58,1.933333333
"CHE,FUL,LEE,LEI",6.2,4.6,4.6,6.9,5.8,6.3,5.1,5.6,6.8,6.1,58,1.933333333
"FUL,MUN,SOU,WOL",6.3,5.8,5.7,4.7,5.6,4.2,3.7,6.7,5.3,10.1,58.1,1.936666667
"CHE,EVE,FUL,WOL",6.7,7.5,4.3,3.1,6.3,5.3,3.8,7.8,5.3,8,58.1,1.936666667
"EVE,FUL,LEI,LIV",5.7,4.8,5.9,5.8,5.6,5.3,4.8,9.7,6.4,4.1,58.1,1.936666667
"CRY,EVE,FUL,WOL",7.4,7.1,4.9,5.9,5.2,3.7,3.8,7.9,5.9,6.4,58.2,1.94
"EVE,FUL,MUN,WOL",8.5,3.8,4.8,5.3,5.6,5.3,3.8,8.8,4.3,8,58.2,1.94
"CHE,CRY,EVE,FUL",7.4,7.1,4.3,5.9,5.9,5.4,5.3,5.7,5.3,5.9,58.2,1.94
"CHE,CRY,LEI,SOU",4.5,8.9,5.6,4.2,5.2,6.8,6,4.1,7.7,5.2,58.2,1.94
"CHE,EVE,LEI,SHU",6.1,4.6,4.1,4.8,4.6,10.5,6.1,8,5.8,3.6,58.2,1.94
"CHE,LEI,MUN,SOU",4.5,5.6,5.5,4.2,5.6,8.9,6,5,6.1,6.8,58.2,1.94
"FUL,LEE,LEI,WOL",6.2,4.6,6.3,6.9,5.1,4.1,3.6,7.3,7.5,6.6,58.2,1.94
"CHE,LEE,LEI,SOU",4.5,5.6,5.5,4.2,6.8,7.2,6,4,8.3,6.1,58.2,1.94
"CHE,EVE,FUL,SOU",6.3,6,4.3,3.2,8.6,5.9,4.9,5.7,5.3,8.1,58.3,1.943333333
"CHE,LEE,LEI,WOL",4.9,7.1,6.1,4.1,5.6,6.6,4.9,5.6,7.3,6.1,58.3,1.943333333
"CRY,LEI,MUN,SOU",5.2,5.6,6.1,6.4,4.5,6.8,6.7,5.1,6.7,5.2,58.3,1.943333333
"BHA,CHE,CRY,EVE",7.9,7,4.7,4.7,5.3,5.3,7.8,4.6,5.2,5.9,58.4,1.946666667
"BHA,CHE,EVE,LEE",9,3.7,4.6,4.7,6.9,5.7,7.3,4.5,5.2,6.8,58.4,1.946666667
"CRY,LEI,SOU,WOL",4.5,8.9,7.3,4.2,4.5,4.6,4.5,5.8,8.4,5.7,58.4,1.946666667
"LEI,MUN,SOU,WOL",4.5,5.6,7.2,4.2,4.9,6.7,4.5,6.7,6.8,7.3,58.4,1.946666667
"CRY,MUN,SOU,WOL",5.7,7.9,6.1,4.7,5,4.6,5.7,5.1,5.7,7.9,58.4,1.946666667
"CHE,EVE,LEE,WOL",7.2,6.3,4.6,3.1,7.3,6.1,5.1,6.1,5.8,6.8,58.4,1.946666667
"LEE,LEI,SOU,WOL",4.5,5.6,7.2,4.2,6.1,5,4.5,5.7,9,6.6,58.4,1.946666667
"CHE,CRY,FUL,SOU",5.7,9.1,4.7,5.3,5.9,4.3,5.2,4.1,6.2,8,58.5,1.95
"CHE,EVE,LEI,SOU",4.5,5.8,5.2,3.2,7.9,8.4,5.7,5.7,6.8,5.3,58.5,1.95
"CHE,FUL,SOU,WOL",5,9.5,5.2,2.5,6.3,4.2,3.7,5.7,6.3,10.1,58.5,1.95
"CHE,FUL,LEI,WOL",4.9,8.3,5.8,4.1,5.1,5.8,3.6,7.3,6.3,7.3,58.5,1.95
"CHE,FUL,MUN,SOU",6.3,5.8,4.6,4.7,6.3,6.4,5.2,5,4.6,9.6,58.5,1.95
"CRY,EVE,SOU,WOL",5.7,8.1,5.8,3.2,7.3,4.6,4.7,6.3,6.4,6.4,58.5,1.95
"BHA,CHE,FUL,LEI",6.2,5.7,6.4,5.7,4.7,5.4,5.1,6.2,5.7,7.4,58.5,1.95
"CRY,EVE,MUN,WOL",7.9,5.9,5.2,5.3,5,5.7,5.8,7.2,4.7,5.9,58.6,1.953333333
"BHA,EVE,LEI,WOL",6.7,4.7,8.1,4.7,4.5,5.2,4.6,8.4,5.9,5.8,58.6,1.953333333
"CRY,FUL,LEI,WOL",5.6,7.9,6.4,6.9,4.5,3.7,3.6,7.4,6.9,5.7,58.6,1.953333333
"FUL,LEI,SOU,WOL",4.5,6.8,6.9,4.2,5.1,4.2,3.6,7.4,8,7.9,58.6,1.953333333
"CHE,EVE,FUL,LIV",6.2,7,4.3,4.1,6.8,5.3,5.3,8,5.3,6.3,58.6,1.953333333
"FUL,LEI,MUN,WOL",6.2,4.6,6.3,6.3,4.9,5.8,3.6,8.3,5.3,7.3,58.6,1.953333333
