COMBO,GW1,GW2,GW3,GW4,GW5,GW6,GW7,GW8,GW9,GW10,SUM,AVERAGE PER TEAM
"CHE,EVE,LEE,LEI,WOL",4.9,3.6,4.6,3.1,5.6,6.1,4.6,5.6,5.8,4.6,48.5,1.616666667
"CRY,EVE,LEE,LEI,WOL",5.6,3.6,5.2,4.8,4.5,4.5,4.6,5.7,6.4,3.7,48.6,1.62
"BHA,CHE,CRY,EVE,LEI",5.6,4.7,4.7,4.7,4.1,5.3,6.1,4.6,5.2,3.7,48.7,1.623333333
"BHA,CRY,EVE,LEI,SOU",5.2,4.7,5.8,4.8,4.1,4.2,5.7,4.7,5.8,3.7,48.7,1.623333333
"CRY,EVE,LEI,SOU,WOL",4.5,5.8,5.8,3.2,4.5,4.6,4.5,5.8,6.4,3.7,48.8,1.626666667
"CHE,CRY,EVE,LEI,SOU",4.5,5.8,4.7,3.2,5.2,6.3,5.7,4.1,5.7,3.7,48.9,1.63
"CRY,EVE,LEI,MUN,SOU",5.2,3.6,5.2,4.9,4.5,6.3,5.7,5.1,4.7,3.7,48.9,1.63
"CRY,EVE,MUN,SOU,WOL",5.7,4.8,5.2,3.2,5,4.6,4.7,5.1,4.7,5.9,48.9,1.63
"CRY,EVE,FUL,LEI,SOU",5.2,4.8,4.9,4.9,4.7,4.3,4.7,5.8,5.9,3.7,48.9,1.63
"CRY,EVE,FUL,LEI,WOL",5.6,4.8,4.9,4.8,4.5,3.7,3.6,7.4,5.9,3.7,48.9,1.63
"CHE,EVE,FUL,LEI,WOL",4.9,4.8,4.3,3.1,5.1,5.3,3.6,7.3,5.3,5.3,49,1.633333333
"CHE,FUL,LEE,LEI,WOL",4.9,4.6,4.6,4.1,5.1,4.1,3.6,5.6,6.3,6.1,49,1.633333333
"CRY,EVE,LEI,MUN,WOL",5.6,3.6,5.2,4.8,4.5,5.7,4.6,6.7,4.7,3.7,49.1,1.636666667
"CHE,CRY,EVE,FUL,LEI",5.6,4.8,4.3,4.8,4.7,5.4,4.8,5.7,5.3,3.7,49.1,1.636666667
"BHA,CHE,EVE,LEI,SOU",4.5,4.7,5.2,3.2,5.2,5.8,5.7,4.6,5.2,5.3,49.4,1.646666667
"CHE,CRY,FUL,LEI,SOU",4.5,6.8,4.7,4.2,4.7,4.3,4.7,4.1,6.2,5.2,49.4,1.646666667
"EVE,LEI,MUN,SOU,WOL",4.5,3.6,5.7,3.2,4.9,6.2,4.5,6.7,4.8,5.3,49.4,1.646666667
"CHE,CRY,EVE,LEI,WOL",4.9,6.9,4.7,3.1,4.5,5.7,4.6,5.7,5.7,3.7,49.5,1.65
"BHA,CHE,EVE,LEI,WOL",4.9,4.7,5.8,3.1,4.5,5.2,4.6,6.2,5.2,5.3,49.5,1.65
"BHA,CRY,EVE,LEI,WOL",5.6,4.7,6.4,4.7,4.1,3.6,4.6,6.3,5.8,3.7,49.5,1.65
"CHE,CRY,EVE,LEE,LEI",5.6,3.6,4.6,4.8,5.2,6.2,6.1,4,5.7,3.7,49.5,1.65
"CHE,EVE,FUL,LEI,SOU",4.5,4.8,4.3,3.2,5.8,5.9,4.7,5.7,5.3,5.3,49.5,1.65
"CHE,EVE,LEI,MUN,WOL",4.9,3.6,4.6,3.1,4.9,7.8,4.6,6.6,4.1,5.3,49.5,1.65
"ARS,CRY,EVE,FUL,WOL",5.7,5.5,4.9,3.7,5.2,3.7,3.8,5.8,5.4,5.9,49.6,1.653333333
"CRY,EVE,SHU,SOU,WOL",5.7,5.8,4.7,3.2,4,4.6,4.7,6.3,6.4,4.2,49.6,1.653333333
"CHE,CRY,EVE,FUL,SOU",5.7,6,4.3,3.2,5.9,4.3,4.9,4.1,5.3,5.9,49.6,1.653333333
"BHA,CHE,CRY,FUL,LEI",5.6,5.7,4.7,5.7,4.1,3.3,5.1,4.6,5.7,5.2,49.7,1.656666667
"BHA,CHE,LEE,LEI,WOL",4.9,4.5,6.1,4,4.5,4,4.9,4.5,6.2,6.1,49.7,1.656666667
"BHA,CRY,EVE,LEI,TOT",5.7,4.7,4.8,6.4,4.1,4.7,5.2,4.7,5.8,3.7,49.8,1.66
"CHE,CRY,LEE,LEI,WOL",4.9,6.7,5,4.1,4.5,4.5,4.9,4,6.7,4.5,49.8,1.66
"CHE,EVE,FUL,LEE,WOL",6.7,3.8,4.3,3.1,6.3,4.1,3.8,5.6,5.3,6.8,49.8,1.66
"CHE,LEE,LEI,MUN,WOL",4.9,3.4,4.9,4.1,4.9,6.6,4.9,4.9,5.1,6.1,49.8,1.66
"CHE,CRY,EVE,LEE,WOL",6.1,5.9,4.6,3.1,5.7,4.5,5.1,4,5.7,5.2,49.9,1.663333333
"ARS,CHE,CRY,EVE,LEI",4.5,5.3,4.7,3.7,5.2,7.4,6.1,4.1,5.2,3.7,49.9,1.663333333
"BHA,CHE,CRY,EVE,WOL",6.1,7,4.7,3.1,4.6,3.6,5.1,4.6,5.2,5.9,49.9,1.663333333
"BHA,CHE,EVE,LEE,WOL",7.2,3.7,4.6,3.1,5.7,4,5.1,4.5,5.2,6.8,49.9,1.663333333
"EVE,LEE,LEI,SOU,WOL",4.5,3.6,5.7,3.2,6.1,5,4.5,5.7,7,4.6,49.9,1.663333333
"AVL,CRY,EVE,LEI,WOL",5.6,4.3,4.9,4.8,4.5,4.2,4.6,7.9,5.4,3.7,49.9,1.663333333
"CRY,EVE,LEI,TOT,WOL",5,5.8,4.8,4.8,4.5,5.1,4,5.8,6.4,3.7,49.9,1.663333333
"LEE,LEI,MUN,SOU,WOL",4.5,3.4,6,4.2,4.9,5,4.5,5,6.3,6.1,49.9,1.663333333
"CHE,CRY,EVE,LEI,MUN",5.6,3.6,4.6,4.8,4.5,7.9,6.1,5,4.1,3.7,49.9,1.663333333
"CHE,FUL,LEE,LEI,SOU",4.5,4.6,4.6,4.2,5.8,4.7,4.7,4,6.8,6.1,50,1.666666667
"CRY,EVE,LEE,SOU,WOL",5.7,4.8,5.2,3.2,6.2,4.5,4.7,4.1,6.4,5.2,50,1.666666667
"CHE,CRY,EVE,SHU,SOU",5.7,5.8,4.1,3.2,4.7,6.3,6.2,4.1,5.7,4.2,50,1.666666667
"EVE,FUL,LEI,SOU,WOL",4.5,4.8,5.4,3.2,5.1,4.2,3.6,7.4,6,5.8,50,1.666666667
"CHE,LEE,LEI,SHU,WOL",4.9,4.4,4.4,4.1,3.9,6.6,4.9,5.6,6.8,4.4,50,1.666666667
"ARS,CRY,EVE,LEI,WOL",4.5,5.3,6.4,3.7,4.5,5.7,4.6,5.8,5.8,3.7,50,1.666666667
