COMBO,GW1,GW2,GW3,GW4,GW5,GW6,GW7,GW8,GW9,GW10,GW11,GW12,GW13,GW14,GW15,SUM,AVERAGE PER TEAM
"AVL,LEI,LIV,MUN,SOU",4,4.1,5.7,5.2,5.4,4.7,6.2,6.7,5.2,5.6,5.2,4,5.6,4.1,3.2,74.9,1.664444444
"AVL,CHE,LEE,LEI,LIV",4.4,4.1,4.6,5.1,6.1,4.6,6.6,5.6,6.2,4.9,4.6,4.9,5.1,5.3,3.6,75.7,1.682222222
"AVL,CHE,FUL,LEI,LIV",4.4,5.3,4.3,5.1,5.6,3.8,5.1,7.3,5.3,5.6,4.6,4.9,5.3,4.8,4.3,75.7,1.682222222
"AVL,FUL,LEI,LIV,SOU",4,5.3,5.4,5.2,5.6,3.8,4.7,7.4,6.4,5.6,5.2,4,5.3,4.8,3.2,75.9,1.686666667
"AVL,BHA,LEI,LIV,SOU",4,5.2,6.8,5.1,5,3.7,6.2,6.3,6.3,5.6,5.2,4,5.2,4.2,3.2,76,1.688888889
"AVL,LEI,MUN,SOU,WOL",4.5,4.1,5.7,4.2,4.9,4.7,4.5,6.7,4.8,6.8,5.2,4,5.6,5.1,5.4,76.2,1.693333333
"AVL,BHA,CHE,LEI,LIV",4.4,5.2,5.7,5,5,3.7,6.6,6.2,5.2,5.6,4.6,4.9,5.2,4.2,4.8,76.3,1.695555556
"FUL,LEI,LIV,MUN,SOU",4,4.6,5.7,5.2,5.1,4.2,4.7,6.7,5.7,5.6,6.6,4,5.1,4.6,4.7,76.5,1.7
"AVL,CHE,LIV,MUN,SOU",4.5,5.3,4.6,3.5,6.6,4.7,6.7,5,4.1,7.8,4.7,5,6.7,4.1,3.2,76.5,1.7
"AVL,CRY,LEI,LIV,MUN",5.1,4.1,5.2,7.3,4.5,4.2,7.1,6.7,4.7,4,4.7,5.6,5.6,4.1,3.7,76.6,1.702222222
"AVL,BHA,CHE,LEI,SOU",4.5,5.2,5.2,4.1,5.2,4.3,6,4.6,5.2,6.8,4.6,5,5.2,5.4,5.4,76.7,1.704444444
"AVL,BHA,LEI,LIV,WHU",4.1,5.2,7.5,6.7,5,3.7,7.1,5.9,5.4,4.1,5.8,4.6,4.2,4.2,3.3,76.8,1.706666667
"AVL,CHE,FUL,LEI,SOU",4.5,5.3,4.3,4.2,5.8,4.4,4.7,5.7,5.3,6.8,4.6,5,5.3,6,4.9,76.8,1.706666667
"AVL,CHE,LEE,LEI,WOL",4.9,4.1,4.6,4.1,5.6,4.6,4.9,5.6,5.8,6.1,4.6,4.9,5.1,6.3,5.8,77,1.711111111
"BHA,LEI,LIV,MUN,SOU",4,4.5,7.1,5.1,4.5,4.1,6.5,5.6,5.6,5.6,6.2,4,5,4,5.2,77,1.711111111
"AVL,CHE,LEI,LIV,SOU",4,6.3,5.2,3.5,6.1,4.7,6,5.7,6.2,5.6,4.6,4,6.7,5.3,3.2,77.1,1.713333333
"CHE,FUL,LEE,LEI,LIV",4.4,4.6,4.6,5.1,5.6,4.1,5.1,5.6,6.7,4.9,6,4.9,4.6,5.8,5.1,77.1,1.713333333
